date,node,country,transport,version,lower,upper,clients,frac
2019-02-05,relay,ir,,,,,20874,69
2019-02-05,relay,is,,,,,553,69
2019-02-05,relay,it,,,,,15863,69
2019-02-05,relay,je,,,,,56,69
2019-02-05,relay,jm,,,,,259,69
2019-02-05,relay,jo,,,,,493,69
2019-02-05,relay,jp,,,,,15202,69
2019-02-05,relay,ke,,,,,990,69
2019-02-05,relay,kg,,,,,358,69
2019-02-05,relay,kh,,,,,664,69
2019-02-05,relay,ki,,,,,1,69
2019-02-05,relay,km,,,,,3,69
2019-02-05,relay,kn,,,,,30,69
2019-02-05,relay,kp,,,,,7,69
2019-02-05,relay,kr,,,,,4865,69
2019-02-05,relay,kw,,,,,507,69
2019-02-05,relay,ky,,,,,31,69
2019-02-05,relay,kz,,,,,2732,69
2019-02-05,relay,la,,,,,149,69
2019-02-05,relay,lb,,,,,398,69
2019-02-05,relay,lc,,,,,29,69
2019-02-05,relay,li,,,,,52,69
2019-02-05,relay,lk,,,,,570,69
2019-02-05,relay,lr,,,,,100,69
2019-02-05,relay,ls,,,,,72,69
2019-02-05,relay,lt,,,,,1572,69
2019-02-05,relay,lu,,,,,876,69
2019-02-05,relay,lv,,,,,2276,69
2019-02-05,relay,ly,,,,,259,69
2019-02-05,relay,ma,,,,,1278,69
2019-02-05,relay,mc,,,,,50,69
2019-02-05,relay,md,,,,,7095,69
2019-02-05,relay,me,,,,,145,69
2019-02-05,relay,mf,,,,,11,69
2019-02-05,relay,mg,,,,,226,69
2019-02-05,relay,mh,,,,,7,69
2019-02-05,relay,mk,,,,,372,69
2019-02-05,relay,ml,,,,,84,69
2019-02-05,relay,mm,,,,,232,69
2019-02-05,relay,mn,,,,,153,69
2019-02-05,relay,mo,,,,,69,69
2019-02-05,relay,mp,,,,,7,69
2019-02-05,relay,mq,,,,,131,69
2019-02-05,relay,mr,,,,,35,69
2019-02-05,relay,ms,,,,,0,69
2019-02-05,relay,mt,,,,,216,69
2019-02-05,relay,mu,,,,,224,69
2019-02-05,relay,mv,,,,,88,69
2019-02-05,relay,mw,,,,,52,69
2019-02-05,relay,mx,,,,,9166,69
2019-02-05,relay,my,,,,,1747,69
2019-02-05,relay,mz,,,,,112,69
2019-02-05,relay,na,,,,,113,69
2019-02-05,relay,nc,,,,,106,69
2019-02-05,relay,ne,,,,,41,69
2019-02-05,relay,nf,,,,,1,69
2019-02-05,relay,ng,,,,,1313,69
2019-02-05,relay,ni,,,,,282,69
2019-02-05,relay,nl,,,,,25581,69
2019-02-05,relay,no,,,,,4607,69
2019-02-05,relay,np,,,,,547,69
2019-02-05,relay,nr,,,,,0,69
2019-02-05,relay,nz,,,,,1625,69
2019-02-05,relay,om,,,,,1373,69
2019-02-05,relay,pa,,,,,376,69
2019-02-05,relay,pe,,,,,1488,69
2019-02-05,relay,pf,,,,,65,69
2019-02-05,relay,pg,,,,,54,69
2019-02-05,relay,ph,,,,,4666,69
2019-02-05,relay,pk,,,,,2882,69
2019-02-05,relay,pl,,,,,10598,69
2019-02-05,relay,pm,,,,,7,69
2019-02-05,relay,pr,,,,,349,69
2019-02-05,relay,ps,,,,,266,69
2019-02-05,relay,pt,,,,,2413,69
2019-02-05,relay,pw,,,,,5,69
2019-02-05,relay,py,,,,,306,69
2019-02-05,relay,qa,,,,,528,69
2019-02-05,relay,re,,,,,277,69
2019-02-05,relay,ro,,,,,3526,69
2019-02-05,relay,rs,,,,,1360,69
2019-02-05,relay,ru,,,,,149731,69
2019-02-05,relay,rw,,,,,127,69
2019-02-05,relay,sa,,,,,2726,69
2019-02-05,relay,sb,,,,,9,69
2019-02-05,relay,sc,,,,,352,69
2019-02-05,relay,sd,,,,,651,69
2019-02-05,relay,se,,,,,6994,69
2019-02-05,relay,sg,,,,,4271,69
2019-02-05,relay,sh,,,,,1,69
2019-02-05,relay,si,,,,,727,69
2019-02-05,relay,sj,,,,,1,69
2019-02-05,relay,sk,,,,,1501,69
2019-02-05,relay,sl,,,,,25,69
2019-02-05,relay,sm,,,,,16,69
2019-02-05,relay,sn,,,,,262,69
2019-02-05,relay,so,,,,,69,69
2019-02-05,relay,sr,,,,,72,69
2019-02-05,relay,ss,,,,,27,69
2019-02-05,relay,st,,,,,7,69
2019-02-05,relay,sv,,,,,401,69
2019-02-05,relay,sx,,,,,15,69
2019-02-05,relay,sy,,,,,351,69
2019-02-05,relay,sz,,,,,27,69
2019-02-05,relay,tc,,,,,11,69
2019-02-05,relay,td,,,,,58,69
2019-02-05,relay,tg,,,,,77,69
2019-02-05,relay,th,,,,,25138,69
2019-02-05,relay,tj,,,,,130,69
2019-02-05,relay,tl,,,,,79,69
2019-02-05,relay,tm,,,,,280,69
2019-02-05,relay,tn,,,,,669,69
2019-02-05,relay,to,,,,,4,69
2019-02-05,relay,tr,,,,,7138,69
2019-02-05,relay,tt,,,,,256,69
2019-02-05,relay,tv,,,,,1,69
2019-02-05,relay,tw,,,,,2511,69
2019-02-05,relay,tz,,,,,229,69
2019-02-05,relay,ua,,,,,42156,69
2019-02-05,relay,ug,,,,,605,69
2019-02-05,relay,us,,,,,203991,69
2019-02-05,relay,uy,,,,,442,69
2019-02-05,relay,uz,,,,,914,69
2019-02-05,relay,va,,,,,1,69
2019-02-05,relay,vc,,,,,11,69
2019-02-05,relay,ve,,,,,11201,69
2019-02-05,relay,vg,,,,,9,69
2019-02-05,relay,vi,,,,,16,69
2019-02-05,relay,vn,,,,,4454,69
2019-02-05,relay,vu,,,,,5,69
2019-02-05,relay,wf,,,,,1,69
2019-02-05,relay,ws,,,,,9,69
2019-02-05,relay,xk,,,,,12,69
2019-02-05,relay,ye,,,,,204,69
2019-02-05,relay,yt,,,,,19,69
2019-02-05,relay,za,,,,,2775,69
2019-02-05,relay,zm,,,,,130,69
2019-02-05,relay,zw,,,,,399,69
