date,node,country,transport,version,frac,low,high
2019-02-05,bridge,gu,<OR>,,79,0,1
2019-02-05,bridge,gu,obfs4,,79,0,1
2019-02-05,bridge,gy,<OR>,,79,1,4
2019-02-05,bridge,gy,meek,,79,0,1
2019-02-05,bridge,gy,obfs4,,79,0,3
2019-02-05,bridge,hk,<OR>,,79,5,24
2019-02-05,bridge,hk,meek,,79,10,17
2019-02-05,bridge,hk,obfs3,,79,3,5
2019-02-05,bridge,hk,obfs4,,79,49,60
2019-02-05,bridge,hn,<OR>,,79,1,9
2019-02-05,bridge,hn,meek,,79,0,5
2019-02-05,bridge,hn,obfs4,,79,2,5
2019-02-05,bridge,hr,<OR>,,79,1,9
2019-02-05,bridge,hr,meek,,79,0,3
2019-02-05,bridge,hr,obfs3,,79,0,1
2019-02-05,bridge,hr,obfs4,,79,17,21
2019-02-05,bridge,ht,<OR>,,79,1,6
2019-02-05,bridge,ht,meek,,79,0,3
2019-02-05,bridge,ht,obfs4,,79,1,4
2019-02-05,bridge,hu,<OR>,,79,1,17
2019-02-05,bridge,hu,meek,,79,4,11
2019-02-05,bridge,hu,obfs3,,79,3,4
2019-02-05,bridge,hu,obfs4,,79,70,78
2019-02-05,bridge,id,<OR>,,79,1,18
2019-02-05,bridge,id,meek,,79,46,53
2019-02-05,bridge,id,obfs3,,79,14,16
2019-02-05,bridge,id,obfs4,,79,1077,1085
2019-02-05,bridge,ie,<OR>,,79,1,14
2019-02-05,bridge,ie,meek,,79,4,11
2019-02-05,bridge,ie,obfs3,,79,3,5
2019-02-05,bridge,ie,obfs4,,79,50,55
2019-02-05,bridge,il,<OR>,,79,4,18
2019-02-05,bridge,il,meek,,79,12,19
2019-02-05,bridge,il,obfs3,,79,3,6
2019-02-05,bridge,il,obfs4,,79,51,56
2019-02-05,bridge,im,<OR>,,79,1,4
2019-02-05,bridge,im,meek,,79,0,1
2019-02-05,bridge,im,obfs4,,79,0,3
2019-02-05,bridge,in,<OR>,,79,18,43
2019-02-05,bridge,in,meek,,79,493,500
2019-02-05,bridge,in,obfs3,,79,59,64
2019-02-05,bridge,in,obfs4,,79,2275,2291
2019-02-05,bridge,iq,<OR>,,79,0,12
2019-02-05,bridge,iq,meek,,79,8,15
2019-02-05,bridge,iq,obfs3,,79,0,2
2019-02-05,bridge,iq,obfs4,,79,65,69
2019-02-05,bridge,ir,<OR>,,79,40,167
2019-02-05,bridge,ir,meek,,79,1298,1306
2019-02-05,bridge,ir,obfs3,,79,489,514
2019-02-05,bridge,ir,obfs4,,79,2069,2198
2019-02-05,bridge,ir,scramblesuit,,79,0,1
2019-02-05,bridge,is,<OR>,,79,0,6
2019-02-05,bridge,is,meek,,79,0,1
2019-02-05,bridge,is,obfs3,,79,0,1
2019-02-05,bridge,is,obfs4,,79,10,13
2019-02-05,bridge,it,<OR>,,79,22,45
2019-02-05,bridge,it,fte,,79,0,0
2019-02-05,bridge,it,meek,,79,46,53
2019-02-05,bridge,it,obfs3,,79,17,19
2019-02-05,bridge,it,obfs4,,79,343,357
2019-02-05,bridge,je,<OR>,,79,0,3
2019-02-05,bridge,je,meek,,79,0,1
2019-02-05,bridge,je,obfs4,,79,0,2
2019-02-05,bridge,jm,<OR>,,79,1,9
2019-02-05,bridge,jm,meek,,79,0,5
2019-02-05,bridge,jm,obfs4,,79,14,17
2019-02-05,bridge,jo,<OR>,,79,1,11
2019-02-05,bridge,jo,meek,,79,0,3
2019-02-05,bridge,jo,obfs3,,79,3,4
2019-02-05,bridge,jo,obfs4,,79,37,43
2019-02-05,bridge,jp,<OR>,,79,12,46
2019-02-05,bridge,jp,meek,,79,36,43
2019-02-05,bridge,jp,obfs3,,79,17,22
2019-02-05,bridge,jp,obfs4,,79,314,339
2019-02-05,bridge,ke,<OR>,,79,1,13
2019-02-05,bridge,ke,meek,,79,4,11
2019-02-05,bridge,ke,obfs3,,79,6,7
2019-02-05,bridge,ke,obfs4,,79,90,93
2019-02-05,bridge,kg,<OR>,,79,1,7
2019-02-05,bridge,kg,meek,,79,0,1
2019-02-05,bridge,kg,obfs3,,79,0,1
2019-02-05,bridge,kg,obfs4,,79,13,16
2019-02-05,bridge,kh,<OR>,,79,0,5
2019-02-05,bridge,kh,meek,,79,0,1
2019-02-05,bridge,kh,obfs3,,79,0,1
2019-02-05,bridge,kh,obfs4,,79,49,52
2019-02-05,bridge,km,<OR>,,79,0,0
2019-02-05,bridge,km,obfs4,,79,0,0
2019-02-05,bridge,kn,<OR>,,79,0,2
2019-02-05,bridge,kn,obfs4,,79,0,2
2019-02-05,bridge,kp,<OR>,,79,0,0
2019-02-05,bridge,kp,obfs4,,79,0,0
2019-02-05,bridge,kr,<OR>,,79,1,15
2019-02-05,bridge,kr,fte,,79,0,0
2019-02-05,bridge,kr,meek,,79,8,15
2019-02-05,bridge,kr,obfs3,,79,3,4
2019-02-05,bridge,kr,obfs4,,79,55,61
2019-02-05,bridge,kw,<OR>,,79,1,8
2019-02-05,bridge,kw,meek,,79,0,3
2019-02-05,bridge,kw,obfs3,,79,3,4
2019-02-05,bridge,kw,obfs4,,79,26,28
2019-02-05,bridge,ky,<OR>,,79,0,1
2019-02-05,bridge,ky,obfs4,,79,0,1
2019-02-05,bridge,kz,<OR>,,79,6,45
2019-02-05,bridge,kz,fte,,79,0,0
2019-02-05,bridge,kz,meek,,79,22,29
2019-02-05,bridge,kz,obfs3,,79,3,9
2019-02-05,bridge,kz,obfs4,,79,164,195
2019-02-05,bridge,kz,scramblesuit,,79,0,0
2019-02-05,bridge,la,<OR>,,79,0,3
2019-02-05,bridge,la,meek,,79,0,1
2019-02-05,bridge,la,obfs4,,79,48,50
2019-02-05,bridge,lb,<OR>,,79,1,13
2019-02-05,bridge,lb,meek,,79,2,9
2019-02-05,bridge,lb,obfs3,,79,0,1
2019-02-05,bridge,lb,obfs4,,79,16,20
2019-02-05,bridge,lc,<OR>,,79,1,3
2019-02-05,bridge,lc,meek,,79,0,1
2019-02-05,bridge,lc,obfs4,,79,0,2
2019-02-05,bridge,li,<OR>,,79,0,2
2019-02-05,bridge,li,meek,,79,0,1
2019-02-05,bridge,li,obfs4,,79,0,2
2019-02-05,bridge,lk,<OR>,,79,1,12
2019-02-05,bridge,lk,meek,,79,6,13
2019-02-05,bridge,lk,obfs3,,79,0,1
2019-02-05,bridge,lk,obfs4,,79,44,47
2019-02-05,bridge,lr,<OR>,,79,1,9
2019-02-05,bridge,lr,meek,,79,0,1
2019-02-05,bridge,lr,obfs3,,79,0,1
2019-02-05,bridge,lr,obfs4,,79,0,5
2019-02-05,bridge,ls,<OR>,,79,0,5
2019-02-05,bridge,ls,meek,,79,0,1
2019-02-05,bridge,ls,obfs3,,79,0,1
2019-02-05,bridge,ls,obfs4,,79,1,4
2019-02-05,bridge,lt,<OR>,,79,1,11
2019-02-05,bridge,lt,meek,,79,0,5
2019-02-05,bridge,lt,obfs3,,79,3,4
2019-02-05,bridge,lt,obfs4,,79,32,35
2019-02-05,bridge,lu,<OR>,,79,2,9
2019-02-05,bridge,lu,meek,,79,0,3
2019-02-05,bridge,lu,obfs3,,79,0,2
2019-02-05,bridge,lu,obfs4,,79,19,22
2019-02-05,bridge,lv,<OR>,,79,1,12
2019-02-05,bridge,lv,meek,,79,0,7
2019-02-05,bridge,lv,obfs3,,79,0,1
2019-02-05,bridge,lv,obfs4,,79,24,27
2019-02-05,bridge,ly,<OR>,,79,0,6
2019-02-05,bridge,ly,meek,,79,0,1
2019-02-05,bridge,ly,obfs3,,79,0,1
2019-02-05,bridge,ly,obfs4,,79,14,18
2019-02-05,bridge,ma,<OR>,,79,1,15
2019-02-05,bridge,ma,meek,,79,20,27
2019-02-05,bridge,ma,obfs3,,79,0,2
2019-02-05,bridge,ma,obfs4,,79,112,117
2019-02-05,bridge,mc,<OR>,,79,0,0
2019-02-05,bridge,mc,obfs4,,79,0,0
2019-02-05,bridge,md,<OR>,,79,1,17
2019-02-05,bridge,md,meek,,79,0,5
2019-02-05,bridge,md,obfs3,,79,0,1
2019-02-05,bridge,md,obfs4,,79,45,54
2019-02-05,bridge,me,<OR>,,79,0,4
2019-02-05,bridge,me,meek,,79,0,1
2019-02-05,bridge,me,obfs4,,79,0,3
2019-02-05,bridge,mg,<OR>,,79,0,5
2019-02-05,bridge,mg,meek,,79,0,1
2019-02-05,bridge,mg,obfs3,,79,0,1
2019-02-05,bridge,mg,obfs4,,79,17,20
2019-02-05,bridge,mh,<OR>,,79,0,2
2019-02-05,bridge,mh,obfs4,,79,0,2
2019-02-05,bridge,mk,<OR>,,79,0,7
2019-02-05,bridge,mk,meek,,79,0,3
2019-02-05,bridge,mk,obfs3,,79,0,1
2019-02-05,bridge,mk,obfs4,,79,4,6
2019-02-05,bridge,ml,<OR>,,79,0,8
2019-02-05,bridge,ml,meek,,79,0,5
2019-02-05,bridge,ml,obfs4,,79,1,4
2019-02-05,bridge,mm,<OR>,,79,1,6
2019-02-05,bridge,mm,meek,,79,0,1
2019-02-05,bridge,mm,obfs3,,79,0,1
2019-02-05,bridge,mm,obfs4,,79,33,36
2019-02-05,bridge,mn,<OR>,,79,0,6
2019-02-05,bridge,mn,meek,,79,0,3
2019-02-05,bridge,mn,obfs4,,79,26,29
2019-02-05,bridge,mo,<OR>,,79,0,3
2019-02-05,bridge,mo,meek,,79,0,1
2019-02-05,bridge,mo,obfs4,,79,1,3
2019-02-05,bridge,mq,<OR>,,79,0,2
2019-02-05,bridge,mq,obfs4,,79,0,2
2019-02-05,bridge,mr,<OR>,,79,0,2
2019-02-05,bridge,mr,obfs4,,79,1,3
2019-02-05,bridge,mt,<OR>,,79,1,6
2019-02-05,bridge,mt,meek,,79,0,3
2019-02-05,bridge,mt,obfs4,,79,1,4
2019-02-05,bridge,mu,<OR>,,79,0,5
2019-02-05,bridge,mu,meek,,79,0,1
2019-02-05,bridge,mu,obfs3,,79,0,1
2019-02-05,bridge,mu,obfs4,,79,8,10
2019-02-05,bridge,mv,<OR>,,79,1,4
2019-02-05,bridge,mv,meek,,79,0,1
2019-02-05,bridge,mv,obfs4,,79,1,4
2019-02-05,bridge,mw,<OR>,,79,0,3
2019-02-05,bridge,mw,meek,,79,0,1
2019-02-05,bridge,mw,obfs4,,79,0,2
2019-02-05,bridge,mx,<OR>,,79,10,29
2019-02-05,bridge,mx,meek,,79,76,84
2019-02-05,bridge,mx,obfs3,,79,16,19
2019-02-05,bridge,mx,obfs4,,79,241,249
2019-02-05,bridge,my,<OR>,,79,2,13
2019-02-05,bridge,my,meek,,79,4,11
2019-02-05,bridge,my,obfs3,,79,4,6
2019-02-05,bridge,my,obfs4,,79,86,90
2019-02-05,bridge,my,snowflake,,79,0,0
2019-02-05,bridge,mz,<OR>,,79,0,4
2019-02-05,bridge,mz,meek,,79,0,1
2019-02-05,bridge,mz,obfs4,,79,3,6
2019-02-05,bridge,na,<OR>,,79,0,5
2019-02-05,bridge,na,meek,,79,0,1
2019-02-05,bridge,na,obfs3,,79,0,1
2019-02-05,bridge,na,obfs4,,79,1,4
2019-02-05,bridge,nc,<OR>,,79,0,2
2019-02-05,bridge,nc,meek,,79,0,1
2019-02-05,bridge,nc,obfs4,,79,0,1
2019-02-05,bridge,ne,<OR>,,79,0,1
2019-02-05,bridge,ne,obfs4,,79,0,2
2019-02-05,bridge,nf,<OR>,,79,0,2
2019-02-05,bridge,nf,obfs4,,79,0,2
2019-02-05,bridge,ng,<OR>,,79,1,13
2019-02-05,bridge,ng,meek,,79,14,21
2019-02-05,bridge,ng,obfs3,,79,4,6
2019-02-05,bridge,ng,obfs4,,79,106,109
2019-02-05,bridge,ni,<OR>,,79,0,7
2019-02-05,bridge,ni,meek,,79,0,3
2019-02-05,bridge,ni,obfs3,,79,0,1
2019-02-05,bridge,ni,obfs4,,79,10,13
2019-02-05,bridge,nl,<OR>,,79,13,48
2019-02-05,bridge,nl,meek,,79,70,78
2019-02-05,bridge,nl,obfs3,,79,28,32
2019-02-05,bridge,nl,obfs4,,79,338,364
2019-02-05,bridge,no,<OR>,,79,2,16
2019-02-05,bridge,no,meek,,79,6,13
2019-02-05,bridge,no,obfs3,,79,6,8
2019-02-05,bridge,no,obfs4,,79,52,58
2019-02-05,bridge,np,<OR>,,79,0,7
2019-02-05,bridge,np,meek,,79,0,3
2019-02-05,bridge,np,obfs3,,79,0,1
2019-02-05,bridge,np,obfs4,,79,59,62
2019-02-05,bridge,nz,<OR>,,79,0,21
2019-02-05,bridge,nz,meek,,79,8,15
2019-02-05,bridge,nz,obfs3,,79,3,4
2019-02-05,bridge,nz,obfs4,,79,42,55
